Locality,ID,Lat,Long,OpH2O,DevOp,DevLow,DevMed,DevHi,Barren,DecForest,EvGForest,MixForest,ShrubScrub,GrassHerb,PastureHay,Crops,WoodyWetlands,EmHerbWetlands,
BuffaloCr,1609.1,36.31999969,-82.27749634,0,0.106978951,0.027216905,0.00348537,0.000711672,0.003649602,0.559949271,0.018685961,0.02492678,0.006268191,0.014142207,0.232844591,0.000656928,0.000483572,0,
BullrunCr1,1642.1,36.0472,-84.0773,0.000127822,0.085035387,0.033980517,0.010084497,0.003148462,0.007891338,0.460576949,0.048377331,0.079774495,0.000699658,0.083023869,0.177222088,0.000316192,0.009741396,0,
BullrunCr2,1642.2,36.1801,-83.9015,0.000152369,0.067938801,0.031226752,0.009222827,0.001909098,0.00506404,0.49206335,0.028537882,0.061619955,0.000654292,0.146713752,0.151490979,0,0.003405903,0,
CallahanCr,1796.1,36.9195,-82.7936,0.000844957,0.0145156,0.00622998,0.003682498,0.000365728,0.124523924,0.731392035,0.00282493,0.029043812,0.002736651,0.083839887,0,0,0,0,
CandiesCr,1857.2,35.1237,-84.9329,0.00171899,0.047272234,0.005631955,0.00145888,0.001051751,0.001752918,0.346738442,0.078847372,0.123665521,0.053616665,0.040226635,0.276802678,0.020039808,0.001119606,5.65457E-05,
CaneR,1886.2,35.9882,-82.3919,0.00023607,0.050737647,0.003284584,0.000996742,0.000244814,0.00060912,0.793718196,0.025880309,0.022260563,0.004823414,0.007659173,0.086693208,0.002212067,0.000644093,0,
CaneyCr,1914.1,35.8965,-84.607,0.00081367,0.147093391,0.095651388,0.05315975,0.011888618,0.002486213,0.528297622,0.015324112,0.007051804,0.001672543,0.028749661,0.09415966,0,0.013651569,0,
CaneyFork,1923.1,35.3047,-83.138,0,0.021137682,0.000491574,0,0,0.000124624,0.918398715,0.021698492,0.010087652,0.004950358,0.002229392,0.020659955,0,0.000221554,0,
CarrCr,1979.1,36.79701333,-82.200205,0,0.072568019,0.005754665,0.000634706,0,0,0.381034993,0,8.46274E-05,0.001015529,0.015825329,0.523082131,0,0,0,
CavittsCr,2075.1,37.1381,-81.548,0.007394599,0.032263998,0.03373556,0.01125745,0,0.000183945,0.604407328,0.013244059,0.005481569,0,0.091236848,0.198476933,0.00231771,0,0,
ChatataCr,2163.1,35.2417,-84.7554,0.000203703,0.074611833,0.056584129,0.014802408,0.009110045,0.00213888,0.265934091,0.046432936,0.074227061,0.026141868,0.043218958,0.345853515,0.040265266,0.000475307,0,
CheoahR,2169.1,35.329,-83.8098,0,0.047635925,0.011940626,0.003544214,0.000514755,4.2193E-05,0.834839624,0.03048868,0.023003637,0.005054724,0.005434462,0.033906315,0.000160333,0.003434512,0,
ClearCr1,2308.5,36.1375,-84.872,0.00179367,0.043815132,0.014694146,0.002936505,3.48662E-05,0.011296633,0.361151358,0.03753535,0.270053849,0.007259908,0.177987836,0.070634951,0.000805796,0,0,
ClearCr2,2308.6,36.1019,-84.717,0.002327006,0.032714216,0.016365616,0.001008227,0,0.005598428,0.473590396,0.031255052,0.141977147,0.006483286,0.106191453,0.176592957,0.005857929,3.82871E-05,0,
CliftyCr,2351.1,35.9507,-84.5786,0.000899725,0.048567497,0.010073389,0.003440124,0,0.015630513,0.483522687,0.046944464,0.176698892,0.013725213,0.111336532,0.085262155,0,0.003898807,0,
ClinchR1,2353.11,37.092,-81.8237,0.001557632,0.024176585,0.044838512,0.046768911,0.003488032,0.00262268,0.44017094,0.021474026,0.008067737,0.000146444,0.158053093,0.247477168,0.001158239,0,0,
ClinchR2,2353.12,36.8237,-82.4654,4.78724E-05,0.040523998,0.043249306,0.021610975,0.003884504,0.003610948,0.652518089,0.0591874,0.004274323,0,0.011650094,0.158413235,0.001029257,0,0,
ClinchR3,2353.13,36.1254,-84.1194,0.00238094,0.035421842,0.021958401,0.006758175,0.000578648,0.005469024,0.590064214,0.021214305,0.00823797,0.003870813,0.035572173,0.267097839,0.001173254,0.000202401,0,
ClinchR4,2353.14,36.1601,-84.1219,0.00287017,0.047586858,0.008178238,0.001262595,0.000270955,0.001712325,0.635139259,0.016493351,0.030307178,0.006710331,0.06703767,0.180011327,0.001294021,0.001125721,0,
ClinchR5,2353.15,36.2047,-84.0897,0.078383213,0.056189807,0.022331281,0.005189054,0.001512534,0.003500202,0.487974044,0.022631123,0.053644485,0.002898469,0.149897234,0.113688667,0.000581231,0.001523298,5.53554E-05,
ClinchR6,2353.24,37.1292,-81.5503,0.007499616,0.081875607,0.035010997,0.012384277,0.00253184,0.001035753,0.614879034,0.026891208,0.062880415,0.00506368,0.054824561,0.090263925,0.000166232,0.004692855,0,
ClinchR7,2353.9,36.4779,-83.2895,0.046033568,0.105352359,0.028866656,0.005029796,5.46717E-05,0.000710732,0.355092669,0.052484829,0.083374337,0.000492045,0.058061342,0.259143841,0.000874747,0.004428407,0,
CokerCr,2417.1,35.1774,-84.3915,0.000314227,0.051618985,0.000342793,0,0,0.000142831,0.664647994,0.15110051,0.083098853,0.007312928,0.013511776,0.019110737,0,0.008798366,0,
CosbyCr,2646.4,35.8798,-83.2126,0,0.036111973,0.001459561,0.000164201,0,5.47335E-05,0.696508608,0.100472533,0.073932848,0.006093667,0.009614858,0.073719995,0,0.001867022,0,
CoveCr,2673.1,36.3058,-84.2333,0.000265899,0.052574045,0.015451658,0.014092621,0.002245365,0.002407859,0.80904055,0.001772657,0.057005687,0.003308959,0.040977916,0.000251126,0,0.000605658,0,
CrabOrchardCr,2728.1,36.0134,-84.6009,0.000746241,0.032226563,0.006513488,0.000819944,0,0.004799897,0.528458505,0.026404039,0.192732901,0.009737986,0.139049602,0.057138119,0,0.001372715,0,
CullasajaR,2853.3,35.1403,-83.2983,0.001379969,0.097960122,0.005460904,0.001545094,0.000123843,0.000330249,0.798223732,0.043303906,0.021430804,0.008197253,0.002193797,0.018258054,0.000395119,0.001197153,0,
DavisCr,2982.1,36.4404,-83.9236,0.000254921,0.038094077,0.027764231,0.005297925,0.000243838,0.002770881,0.401223621,0.008057723,0.041075545,0.000720429,0.186945824,0.285301029,0.000543093,0.001706863,0,
DoeCr,3151.1,36.3831,-81.9572,0,0.036729717,0.003954075,0.000685825,0.000101604,0.000465683,0.661363521,0.064086499,0.047770647,0.006358695,0.007408599,0.170109901,0.000736626,0.000228608,0,
DumplinCr,3468.1,35.9747,-83.6117,0,0.07778172,0.024482398,0.00590723,0.000882249,0.004756471,0.365672858,0.061412173,0.03285417,0.006405892,0.017529896,0.400272346,0.001898752,0.000143845,0,
DunnCr,3493.3,35.8265,-83.3899,0,0.027494231,0.000353423,5.1974E-05,0,0.000155922,0.661264839,0.158603771,0.101858589,0.005083054,0.010571506,0.033471238,0,0.001091453,0,
EastForkLittlePigeonR,3564.2,35.8626,-83.4847,0,0.062845255,0.003220423,0.000152794,0,0.00014104,0.52195529,0.14635293,0.090277615,0.007334101,0.018311746,0.146094356,0.000270327,0.003044122,0,
ElkR,3674.1,36.2578,-81.984,0.000195005,0.072541689,0.007287598,0.00257406,7.24303E-05,0.004239956,0.787127472,0.012558292,0.011956564,0.014497195,0.015555791,0.070101347,0.000295293,0.000997309,0,
EmoryR1,3715.1,36.0241,-84.5762,0.00023171,0.043629872,0.005610423,0.001618172,5.31794E-05,0.001025602,0.715422016,0.009621667,0.109374763,0.0020626,0.074937324,0.034270303,0.000452025,0.001690344,0,
EmoryR2,3715.2,36.0808,-84.6418,0.008097013,0.063722698,0.025518809,0.009860727,0.002687755,0.006960844,0.496088894,0.019207205,0.133868688,0.005198737,0.106129769,0.120868631,0.001361957,0.00039774,3.05335E-05,
FourmileCr,4078.1,35.5793,-84.0969,0.000327946,0.050691028,0.000327946,0,0,0,0.538955259,0.231529632,0.045022253,0.016397283,0.030405247,0.081939564,0,0.004403842,0,
FrenchBroadR1,4123.1,35.9794,-83.1534,0.105550521,0.059650855,0.010964883,0.002259929,0.000516233,0.025653858,0.343706464,0.045971803,0.024976443,0.014811834,0.026934296,0.331586256,0.005403541,0.001527284,0.0004858,
FrenchBroadR2,4123.2,35.9324,-83.5656,0.021982689,0.07494777,0.009940997,0.000447689,0,0,0.417315242,0.089032762,0.046180866,0.015152559,0.015692082,0.302637923,0.006141378,0.000528044,0,
FrenchBroadR3,4123.8,35.956,-83.762,0.021217186,0.063262251,0.018263829,0.00651081,0.001496815,0.000886007,0.389715605,0.059107415,0.029083855,0.010618661,0.020217072,0.373532551,0.005054268,0.001033675,0,
FrenchBroadR4,4123.9,35.9483,-83.6986,0.004551727,0.095981479,0.018192735,0.006416027,0.002106605,0.000771886,0.641500249,0.048094312,0.024225545,0.005935234,0.012128854,0.132091666,0.006447372,0.001556309,0,
FrostBr,4139.1,36.15888977,-83.69499969,0.002274137,0.037695541,0.048997312,0.009234374,0.001653918,0.01426504,0.265936186,0.070842809,0.058507339,0,0.093928744,0.393770243,0,0.002894356,0,
GoodfieldCr,4386.1,35.4896,-84.8306,0,0.03911866,0.004580561,0,0,0,0.388244341,0.091310308,0.066568591,0.038249356,0.059413554,0.282858003,0.029288843,0.000167174,0.000200609,
GrasshopperCr,4463.1,35.3159,-85.0268,0.00086396,0.028975876,0.00252542,0,0,0.01860836,0.389579318,0.052568618,0.093041802,0.047517778,0.026782747,0.337941118,0.000332292,0.00126271,0,
GuestR,4644.1,36.8783,-82.4076,0.002273349,0.053912344,0.057149095,0.029636715,0.005343757,0.026836613,0.610740883,0.030270896,0.015171835,0.002089679,0.048263625,0.117673559,0.000318823,0.000318823,0,
GulfForkBigCr,4654.1,35.9052,-83.0342,0,0.025438724,5.07614E-05,0,0,0.00035533,0.783335751,0.098114576,0.04369108,0.008752719,0.005685279,0.034147933,0.000195794,0.000232052,0,
GunstockerCr,4675.1,35.3302,-84.9514,0.001542273,0.058404126,0.008444579,0.000960761,0.000151699,0.000505663,0.223958333,0.116934668,0.121283374,0.038834951,0.033828883,0.370069782,0.024271845,0.00048038,0.000328681,
HickoryCr,5018.1,35.8907,-84.222,0,0.170727758,0.111875658,0.026876062,0.001376184,0,0.395855258,0.062009229,0.033109366,0.000161904,0.036266494,0.144742168,0.001376184,0.015623735,0,
HindsCr,5078.1,36.1303,-84.1022,0.000247482,0.082895085,0.039850161,0.012008482,0.00147364,0.003807842,0.395419341,0.041807516,0.069592949,0.001799866,0.085853615,0.252667458,0.001434268,0.011142296,0,
HiwasseeR1,5089.11,35.1989,-84.4668,0.012463648,0.022759704,0.002456603,0.000289012,0,0,0.607322845,0.175574863,0.134390636,0.010621195,0.006213761,0.027131013,3.61265E-05,0.000740594,0,
HiwasseeR2,5089.12,35.1881,-84.5004,0.001593542,0.055147847,0.011073004,0.003722966,0.001085865,0.000465371,0.442722729,0.122589943,0.077234626,0.047797809,0.031617008,0.18042848,0.022036011,0.002411467,7.33312E-05,
HiwasseeR3,5089.13,35.24,-84.5636,0.022258839,0.03491035,0,0,0,0.00016757,0.634586382,0.163157013,0.114896945,0.008462269,0.007456851,0.010584818,0.000502709,0.003016254,0,
HiwasseeR4,5089.15,35.0641,-83.9006,0.00883194,0.02638723,0,0,0,0.000253375,0.651301263,0.171679878,0.116389764,0.006461071,0.006949723,0.009573967,0,0.002171788,0,
HiwasseeR5,5089.16,35.0682,-83.8412,0.000502304,0.025820349,0.000106257,0,0,5.79581E-05,0.853124426,0.052326536,0.028254591,0.010065396,0.010364846,0.018778436,0,0.000598901,0,
HiwasseeR6,5089.18,35.0295,-83.8032,0.000116915,0.040037413,0.004162161,0.001303598,0.000134452,0.000134452,0.775962353,0.034934089,0.032917312,0.010054658,0.012574168,0.082658639,0.003618508,0.001391284,0,
HiwasseeR7,5089.2,35.1894,-84.4352,0.000674464,0.037427144,0.000865562,0,0,0.00020796,0.649947448,0.156138468,0.081059358,0.006789607,0.022768788,0.040147483,8.99286E-05,0.00388379,0,
HiwasseeR8,5089.3,35.1716,-84.3153,0.028579182,0.048892929,0.003535479,0.00095798,0.000238678,0.003943084,0.652938894,0.099584113,0.068893888,0.011054366,0.023580032,0.055596607,0.001136715,0.001068055,0,
HiwasseeR9,5089.9,35.2224,-84.6233,0.053403126,0.057721526,0.004860739,0.000855149,2.43748E-05,0.002632477,0.736421213,0.027551634,0.018027186,0.011155527,0.017050163,0.068216903,0.001052178,0.001027804,0,
HolstonR1,5178.1,36.4628,-82.8511,0.008981956,0.106055324,0.070056601,0.019272581,0.011083802,0.001431264,0.411137567,0.007519674,0.006580269,0.002172744,0.015161944,0.327729888,0.009057286,0.003759099,0,
HolstonR2,5178.6,36.103,-83.6698,0.020868216,0.053655292,0.01702361,0.000484222,8.1676E-05,0.002899498,0.218133237,0.028621601,0.048428029,0.0008751,0.168567578,0.437520784,0.001598516,0.001213472,2.917E-05,
HolstonR3,5178.7,36.13,-83.6392,0.079006155,0.070854673,0.033667772,0.010088269,0.002388033,0.011273722,0.38911989,0.034727383,0.042614521,0.005095514,0.080791037,0.235414529,0.003532532,0.001417034,8.93558E-06,
HolstonR4,5178.9,36.1762,-83.5134,0.018289826,0.03852075,0.006726908,0.00062751,5.85676E-05,0.001681727,0.367904953,0.039441098,0.04249498,0.010893574,0.040687751,0.41289324,0.010517068,0.009262048,0,
HominyCr,5184.4,35.5628,-82.5974,0.001318938,0.146210822,0.032711676,0.007490762,0.001758584,0.000681283,0.612077848,0.014082096,0.010833414,0.002258639,0.008104924,0.158812889,0.002852665,0.000805458,0,
HorseCr,5257.1,36.1594,-82.6902,0,0.069748359,0,0,0,0,0.222921225,0.017778993,0.021334792,0.001367615,0.01012035,0.655087527,0.001641138,0,0,
HyattCr,5428.1,35.4648,-83.0139,0,0.188497441,0.014001807,0.00255947,0.001505571,0,0.605992171,0,0,0.001053899,0.002860584,0.177055104,0.005269497,0.001204456,0,
IndianCr1,5479.1,36.5862,-83.6032,0.000829993,0.036479918,0.018390609,0.004019215,0.000153492,0.005844064,0.50866661,0.008237401,0.03614451,0.00200108,0.203479151,0.175628891,9.09582E-05,3.41093E-05,0,
IndianCr2,5481.1,36.3926,-83.4109,0.00038958,0.037930973,0.020523809,0.002638522,0.000460413,0.008924935,0.539728356,0.036160153,0.099254485,0.000106249,0.181757008,0.071080732,0,0.001044784,0,
JacksCr,5570.1,36.0042,-82.2822,0,0.045594434,0.000769385,0,0,0.000367967,0.684752793,0.053723155,0.017578778,0.006339065,0.013497692,0.177092393,0.000284338,0,0,
KnobCr,5994.1,36.378,-82.359,0.000242881,0.239965997,0.215050499,0.088934766,0.040965855,0.00012144,0.157771166,0.004837371,0.002833607,0.002610966,0.009937863,0.235715587,0.000870322,0.00014168,0,
LaurelFork,6219.1,36.2861,-82.165,0.00033851,0.021353229,0.004427715,0.000487455,0,0.002708082,0.855930023,0.034175998,0.023966528,0.011455188,0.008584621,0.036504949,0,6.77021E-05,0,
LickCr,6379.1,36.9156,-82.296,0,0.085885974,0.026576775,0.004543456,0.000358265,0.002507857,0.734997639,0.021772762,0.006807042,0,0.044766883,0.071783347,0,0,0,
LittleBrasstownCr,6470.1,35.0343,-83.9617,0.000218333,0.036497944,0.000181944,0,0,0,0.686110404,0.09079,0.052472617,0.006222481,0.016229395,0.105054401,0.001346385,0.004876096,0,
LittleCrabtreeCr,6539.1,35.9078,-82.2208,0,0.125137449,0.020374722,0.007567754,0.001746405,0.000215606,0.704404821,0.009292598,0.004376792,0.004161187,0.007632436,0.114896186,0,0.000194045,0,
LittleDoeR,6554.1,36.2728,-82.1814,0,0.041945071,0.00416522,0,0,0.007679625,0.823683183,0.016899514,0.023179885,0.008037574,0.007972492,0.06624219,4.33877E-05,0.000151857,0,
LittleEmoryR,6569.1,35.9869,-84.4827,0.000444081,0.066914948,0.017904543,0.003249866,0.000131206,0.001473542,0.61860498,0.029985567,0.127521927,0.001877252,0.056902938,0.063160444,0,0.011828706,0,
LittleLimestoneCr,6641.1,36.214,-82.6032,0,0.097671791,0.0364917,0.008305588,0.002464031,0.000564924,0.156952775,0.00177891,0.004014568,0.001826989,0.014495715,0.664362898,0.010457108,0.000613003,0,
LittlePigeonR1,6679.1,35.8397,-83.4899,0,0.036730776,0.001178888,0.000188622,0,0.000437873,0.69331739,0.163680151,0.068436121,0.003243626,0.005554246,0.02680454,0.000205463,0.000222305,0,
LittlePigeonR2,6679.2,35.9113,-83.5838,0.000285049,0.088956884,0.026843301,0.014494192,0.004445318,0.000981434,0.577090373,0.096714542,0.057935272,0.007434723,0.014241617,0.108325771,0.001253854,0.000997671,0,
LittleR1,6693.2,35.7672,-83.856,0.001493988,0.045842927,0.003463801,5.62804E-05,0,0.000168841,0.590309542,0.186380148,0.084732668,0.0088923,0.005474546,0.067423894,0.003852648,0.001908416,0,
LittleR2,6693.3,35.6813,-83.7865,2.27117E-05,0.012457345,0.002029854,0.000102202,1.70337E-05,0,0.832004701,0.090054565,0.043305455,0.000755163,0.000934017,0.017408486,0,0.000908466,0,
LittleTennesseeR,6752.1,35.3286,-83.5197,0.001451364,0.056330892,0.006094432,0.001607893,0.000303795,0.000928058,0.770881766,0.02288839,0.01516291,0.015626013,0.01490913,0.090004946,0.00263135,0.00117906,0,
LookoutCr,6945.4,34.9367,-85.4177,0.002805085,0.061780394,0.019001775,0.002599522,0.000576006,0.000509626,0.537100998,0.069069333,0.10410506,0.03484087,0.024093754,0.130785488,0.00940453,0.003299722,2.78367E-05,
MeadowCr,7438.1,35.9659,-84.1236,0,0.28415079,0.2093636,0.050263478,0.013376571,0,0.170348602,0.044284556,0.043169842,0,0.016619376,0.155553304,0,0.012869882,0,
MillsR,7670.1,35.3873,-82.5459,0.000162343,0.027278414,0.002167758,0.001336943,0.000162343,0.000300812,0.871419499,0.018330445,0.014954663,0.002568841,0.004550381,0.040590547,0.014372138,0.001804873,0,
MudCr2,7935.2,35.3875,-82.5034,0.00032377,0.135803579,0.031213838,0.009683125,0.003387595,0.001205144,0.453446053,0.032880655,0.021398807,0.00854993,0.015750817,0.266444824,0.01590071,0.004011152,0,
MuddyCr,7969.1,35.8032,-84.239,0.00128632,0.178949758,0.115087772,0.009079903,0,0.004048123,0.173539649,0.045021186,0.041805387,0,0.030644673,0.375189165,0.003140133,0.02220793,0,
MulberryCr,7981.1,36.5494,-83.3689,0,0.034887665,0.01009481,0.000775281,0,0.002132024,0.412304363,0.008108152,0.01770226,0.004312503,0.280861855,0.228546509,0,0.000274579,0,
NorthForkClinchR,8053.1,37.1291,-81.4922,0,0.15,0.05,0.35,0,0,0,0,0,0,0.05,0.4,0,0,0,
NorthForkHolstonR1,8076.4,36.5886,-82.6056,0.001743711,0.02547711,0.000815534,0.000264035,5.13651E-05,0.001577,0.664129649,0.025963727,0.024933721,0.035489708,0.007264112,0.208583025,0.002653866,0.001053436,0,
NorthForkHolstonR2,8076.7,36.7894,-82.0293,0.001477691,0.027323012,0.001780075,9.9844E-05,0,0.000139782,0.740474173,0.007345663,0.010132735,0.007850588,0.009796119,0.190430955,0.002344907,0.000804457,0,
NorthForkHolstonR3,8076.8,36.6738,-82.3659,0.002602801,0.050041847,0.009077615,0.000870666,0.000223798,0.000689788,0.662160049,0.008648413,0.008390892,0.006036415,0.019271154,0.230876767,0.000938112,0.000171681,0,
NorthChickamaugaCr,8250.2,36.1356,-83.2022,0.001346427,0.053501607,0.026964436,0.004556308,0.000757589,0.000613971,0.549665189,0.128337792,0.117289913,0.016921889,0.042356785,0.049498232,0.002272768,0.005834515,8.25808E-05,
NorthMouseCr,8258.2,35.1778,-85.2359,0.000779941,0.123976631,0.039350663,0.012871441,0.005260965,0.001889297,0.220175753,0.046956294,0.063964811,0.074292967,0.027777509,0.335083759,0.046549369,0.001070602,0,
NorthToeR,8268.2,35.3378,-84.7502,0.000629322,0.066755539,0.006787208,0.002742289,0.000747743,0.001799997,0.754703,0.0272165,0.017404485,0.017142267,0.016861441,0.085789157,0.00064624,0.000774811,0,
NottelyR1,8286.1,34.7916,-83.891,0.000973365,0.040925582,0.003804973,0,0,0.002875852,0.636802053,0.093000619,0.059021326,0.015042917,0.035616317,0.086939209,0.023714716,0.001283072,0,
NottelyR2,8286.3,34.8572,-83.9777,0.001439169,0.07153978,0.002041003,0.000104667,0,0.000798085,0.66726414,0.073554616,0.051666165,0.008648097,0.032852302,0.085238052,0.002669004,0.00218492,0,
NottelyR3,8286.4,34.9614,-84.0869,0.036447465,0.089689946,0.010182409,0.002502569,0.000516403,0.00471913,0.629757529,0.063101808,0.02989047,0.008837113,0.01944059,0.100465557,0.002597905,0.001851106,0,
NottelyR4,8286.5,35.0059,-84.1393,0.000513646,0.065762792,0.002573583,0.000160515,6.95563E-05,0.001193158,0.728409462,0.062151215,0.033328161,0.010160568,0.016174511,0.07492817,0.003788142,0.000786521,0,
NottelyR5,8286.7,35.0098,-84.1113,0,0.037503579,0.000897032,0,0,0.00036263,0.844966123,0.058001718,0.030002863,0.005363107,0.0072526,0.014696059,0.000477145,0.000477145,0,
OcoeeR1,8313.1,35.1892,-84.672,0.000747462,0.024666249,0.006153525,0,0,0,0.732547629,0.156636768,0.069096788,0.005684189,0.002763872,0.001616604,0,8.69142E-05,0,
OcoeeR2,8313.2,35.0976,-84.536,0.003581531,0.044967033,0.004923398,0.000936411,0.000193074,0.000463379,0.366918629,0.14715167,0.064515818,0.062797455,0.03460859,0.238504832,0.024520451,0.00573431,0.000183421,
OcoeeR3,8313.6,35.0597,-84.4635,0.037592402,0.026870171,0.000488027,0,0,0.000181814,0.607789287,0.19240688,0.117796225,0.007243846,0.005550106,0.00371283,0,0.000368412,0,
OcoeeR4,8313.9,35.0956,-84.6519,0.005834934,0.046605512,0.00535549,0.000520248,6.63061E-05,0.000925735,0.596180771,0.197576768,0.047077305,0.01498262,0.031951872,0.047827074,0.002690496,0.00240487,0,
OconalufteeR1,8314.2,35.4619,-83.3531,0,0.027239502,0.001116071,7.35871E-05,5.51903E-05,0.000355671,0.87006353,0.067062402,0.025847478,0.003102924,0.000975029,0.003802002,0.000104248,0.000202365,0,
OconalufteeR2,8314.3,35.499128,-83.300383,0,0.099160102,0.018197799,0.01634221,0.001790481,0.002539228,0.759912755,0.019402305,0.023666905,0.009668598,0.009733707,0.033595937,0.00325542,0.002734553,0,
OostanaulaCr,8348.3,35.4702,-84.5534,0.001038881,0.049135228,0.000577156,0.00065411,9.61927E-05,0,0.191962139,0.039188903,0.085169011,0.05015487,0.022970815,0.408934377,0.148713904,0.001404413,0,
PaintCr,8416.1,35.9531,-82.8915,0,0.019231882,7.23003E-05,0,0,0.000173521,0.824498236,0.072011105,0.057189542,0.008314535,0.006738389,0.01177049,0,0,0,
PaintRockCr,8420.1,35.7414,-84.5084,0.000164722,0.044488675,0.000631434,0,0,0.00052162,0.34646534,0.064996568,0.083198353,0.091956074,0.040370625,0.280041181,0.046163349,0.001002059,0,
PantherCr,8479.1,36.5489,-83.1578,0,0.045379666,0.015789637,0.001927082,0,0.001989246,0.707518727,0.010163802,0.087464644,0.001025705,0.089733628,0.038044323,0,0.000963541,0,
